evidence_id,category,claim,source_path,source_type,run_id,calculation,status,notes
NET-PWR-01,network_validation,Only one Friis distance window is recoverable from the retained raw log,results/phase_b_network/raw/ns3_snr_obstaclefree_20260804_220047.csv,raw_csv,,filter confirmed time window and rx nodes,VERIFIED_RAW,R2/trend across distance not recoverable
NET-LOAD-01,network_validation,Five complete UDP receiver summaries at fixed 2 Mbit/s,results/phase_b_network/raw/iperf_*.txt,raw_log,,parse receiver summary,VERIFIED_RAW,Not a multi-rate offered-load sweep
NET-LOAD-02,network_validation,Historical multi-rate offered-load curve,,missing_raw,,none,NOT_VERIFIED,No underlying multi-rate artifacts found
JPEG-01,jpeg,Full RAW and Q5-Q90 count-based quality sweep,results/conference_paper/quality_sweep/processed/quality_sweep_summary_20260827_095558_UTC.csv,processed_csv,conference_qs_full_01,direct extraction,VERIFIED_RAW,
JPEG-02,jpeg,YOLOv8n conf 0.25 imgsz 960 class 0,results/conference_paper/quality_sweep/processed/quality_sweep_metadata_20260827_095558_UTC.json,metadata_json,conference_qs_full_01,direct extraction,VERIFIED_RAW,
JPEG-03,jpeg,60 unique clean labels; original retains duplicate frame_0033,results/conference_paper/quality_sweep/input/ground_truth_clean.csv; results/phase_d_application/raw/d4_reference_01/ground_truth.csv,raw_csv,conference_qs_full_01,row/unique counts,VERIFIED_RAW,
RATE-rate_edge_1hz_rng1,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng1.csv,processed_csv,rate_edge_1hz_rng1,direct extraction,VERIFIED_RAW,
RATE-rate_edge_1hz_rng2,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng2.csv,processed_csv,rate_edge_1hz_rng2,direct extraction,VERIFIED_RAW,
RATE-rate_edge_1hz_rng3,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_1hz_rng3.csv,processed_csv,rate_edge_1hz_rng3,direct extraction,VERIFIED_RAW,
RATE-rate_ground_1hz_rng1,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng1.csv,processed_csv,rate_ground_1hz_rng1,direct extraction,VERIFIED_RAW,
RATE-rate_ground_1hz_rng2,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng2.csv,processed_csv,rate_ground_1hz_rng2,direct extraction,VERIFIED_RAW,
RATE-rate_ground_1hz_rng3,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_1hz_rng3.csv,processed_csv,rate_ground_1hz_rng3,direct extraction,VERIFIED_RAW,
RATE-rate_edge_2hz_rng1,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng1.csv,processed_csv,rate_edge_2hz_rng1,direct extraction,VERIFIED_RAW,
RATE-rate_edge_2hz_rng2,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng2.csv,processed_csv,rate_edge_2hz_rng2,direct extraction,VERIFIED_RAW,
RATE-rate_edge_2hz_rng3,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_edge_2hz_rng3.csv,processed_csv,rate_edge_2hz_rng3,direct extraction,VERIFIED_RAW,
RATE-rate_ground_2hz_rng1,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng1.csv,processed_csv,rate_ground_2hz_rng1,direct extraction,VERIFIED_RAW,
RATE-rate_ground_2hz_rng2,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng2.csv,processed_csv,rate_ground_2hz_rng2,direct extraction,VERIFIED_RAW,
RATE-rate_ground_2hz_rng3,rate_sweep,Complete official per-run summary,results/conference_paper/rate_sweep/processed/rate_summary_rate_ground_2hz_rng3.csv,processed_csv,rate_ground_2hz_rng3,direct extraction,VERIFIED_RAW,
ARCH-01,architecture,Gazebo and three ArduPilot SITL model instances,worlds/multi_uav_plugin.world:104; worlds/multi_uav_plugin.world:112; worlds/multi_uav_plugin.world:120,source,,source inspection,VERIFIED_SOURCE,
ARCH-02,architecture,ROS 2 AP_DDS telemetry integration,ros2/uav_controller/package.xml:6; ros2/uav_controller/uav_controller/drone_bridge.py:4; ros2/uav_controller/uav_controller/drone_bridge.py:38,source,,source inspection,VERIFIED_SOURCE,
ARCH-03,architecture,Namespace/veth/bridge/TAP construction,results/conference_paper/network_scaling/setup_network_scaling.sh:48-54,source,,source inspection,VERIFIED_SOURCE,
ARCH-04,architecture,Four nodes share one YansWifiChannel with TapBridge,ns3/three_uav_tapbridge_integrated.cc:722-723; ns3/three_uav_tapbridge_integrated.cc:889; ns3/three_uav_tapbridge_integrated.cc:960-961,source,,source inspection,VERIFIED_SOURCE,
ARCH-05,architecture,802.11a ConstantRate OfdmRate6Mbps,ns3/three_uav_tapbridge_integrated.cc:908; ns3/three_uav_tapbridge_integrated.cc:919-920,source,,source inspection,VERIFIED_SOURCE,
ARCH-06,architecture,Dynamic obstacle attenuation and log-distance propagation chain,ns3/three_uav_tapbridge_integrated.cc:831; ns3/three_uav_tapbridge_integrated.cc:838-839; ns3/dynamic_obstacle_loss_model.cc:52-68,source,,source inspection,VERIFIED_SOURCE,
HITL-01,hitl,Quantitative Raspberry Pi/HITL result,,missing_raw,,repository search,NOT_VERIFIED,No sufficient raw/log/CSV evidence found
NETSCALE-01,network_scaling,Completed conference multi-UAV scaling dataset,results/conference_paper/network_scaling/raw/,raw_directory,,completion audit,NOT_VERIFIED,Only failed/incomplete artifacts present at package build time
